nohup: ignoring input
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%% 

%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%  fedavg  local_only:1   %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%% 

# alg: fedavg , epochs: 100, shard_per_user: 10, limit_local_output: 0, local_rep_ep: 3 , local_only: 1, is_concept_shift: 0, dataset: mnist, level_n_system: 0.0 , level_n_lowerb:0.0  

fedavg
MLP(
  (layer_input): Linear(in_features=784, out_features=512, bias=True)
  (relu): ReLU()
  (dropout): Dropout(p=0, inplace=False)
  (layer_hidden1): Linear(in_features=512, out_features=256, bias=True)
  (layer_hidden2): Linear(in_features=256, out_features=64, bias=True)
  (layer_out): Linear(in_features=64, out_features=10, bias=True)
  (softmax): Softmax(dim=1)
)
odict_keys(['layer_input.weight', 'layer_input.bias', 'layer_hidden1.weight', 'layer_hidden1.bias', 'layer_hidden2.weight', 'layer_hidden2.bias', 'layer_out.weight', 'layer_out.bias'])
8
[]
['layer_input.weight', 'layer_input.bias', 'layer_hidden1.weight', 'layer_hidden1.bias', 'layer_hidden2.weight', 'layer_hidden2.bias', 'layer_out.weight', 'layer_out.bias']
learning rate, batch size: 0.01, 10 

Round   0, Train loss: 2.275, Test loss: 2.156, Test accuracy: 36.53
Round   0, Global train loss: 2.275, Global test loss: 2.157, Global test accuracy: 37.22
Round   1, Train loss: 1.860, Test loss: 1.807, Test accuracy: 67.58
Round   1, Global train loss: 1.860, Global test loss: 1.745, Global test accuracy: 73.25
Round   2, Train loss: 1.659, Test loss: 1.737, Test accuracy: 74.43
Round   2, Global train loss: 1.659, Global test loss: 1.651, Global test accuracy: 82.58
Round   3, Train loss: 1.659, Test loss: 1.665, Test accuracy: 81.87
Round   3, Global train loss: 1.659, Global test loss: 1.605, Global test accuracy: 87.87
Round   4, Train loss: 1.589, Test loss: 1.653, Test accuracy: 82.77
Round   4, Global train loss: 1.589, Global test loss: 1.597, Global test accuracy: 88.05
Round   5, Train loss: 1.547, Test loss: 1.640, Test accuracy: 83.83
Round   5, Global train loss: 1.547, Global test loss: 1.564, Global test accuracy: 90.52
Round   6, Train loss: 1.562, Test loss: 1.635, Test accuracy: 84.22
Round   6, Global train loss: 1.562, Global test loss: 1.584, Global test accuracy: 89.03
Round   7, Train loss: 1.536, Test loss: 1.633, Test accuracy: 84.36
Round   7, Global train loss: 1.536, Global test loss: 1.565, Global test accuracy: 90.41
Round   8, Train loss: 1.536, Test loss: 1.630, Test accuracy: 84.53
Round   8, Global train loss: 1.536, Global test loss: 1.560, Global test accuracy: 90.62
Round   9, Train loss: 1.587, Test loss: 1.602, Test accuracy: 86.86
Round   9, Global train loss: 1.587, Global test loss: 1.587, Global test accuracy: 88.85
Round  10, Train loss: 1.517, Test loss: 1.600, Test accuracy: 86.97
Round  10, Global train loss: 1.517, Global test loss: 1.565, Global test accuracy: 90.26
Round  11, Train loss: 1.518, Test loss: 1.598, Test accuracy: 87.15
Round  11, Global train loss: 1.518, Global test loss: 1.563, Global test accuracy: 90.50
Round  12, Train loss: 1.555, Test loss: 1.590, Test accuracy: 87.86
Round  12, Global train loss: 1.555, Global test loss: 1.605, Global test accuracy: 86.44
Round  13, Train loss: 1.519, Test loss: 1.589, Test accuracy: 87.85
Round  13, Global train loss: 1.519, Global test loss: 1.563, Global test accuracy: 90.70
Round  14, Train loss: 1.511, Test loss: 1.587, Test accuracy: 87.98
Round  14, Global train loss: 1.511, Global test loss: 1.563, Global test accuracy: 90.29
Round  15, Train loss: 1.506, Test loss: 1.585, Test accuracy: 88.11
Round  15, Global train loss: 1.506, Global test loss: 1.558, Global test accuracy: 90.78
Round  16, Train loss: 1.525, Test loss: 1.584, Test accuracy: 88.13
Round  16, Global train loss: 1.525, Global test loss: 1.595, Global test accuracy: 87.04
Round  17, Train loss: 1.506, Test loss: 1.584, Test accuracy: 88.14
Round  17, Global train loss: 1.506, Global test loss: 1.561, Global test accuracy: 90.33
Round  18, Train loss: 1.492, Test loss: 1.583, Test accuracy: 88.21
Round  18, Global train loss: 1.492, Global test loss: 1.554, Global test accuracy: 91.20
Round  19, Train loss: 1.509, Test loss: 1.583, Test accuracy: 88.23
Round  19, Global train loss: 1.509, Global test loss: 1.561, Global test accuracy: 90.31
Round  20, Train loss: 1.504, Test loss: 1.583, Test accuracy: 88.25
Round  20, Global train loss: 1.504, Global test loss: 1.558, Global test accuracy: 90.85
Round  21, Train loss: 1.523, Test loss: 1.582, Test accuracy: 88.23
Round  21, Global train loss: 1.523, Global test loss: 1.594, Global test accuracy: 87.06
Round  22, Train loss: 1.490, Test loss: 1.582, Test accuracy: 88.22
Round  22, Global train loss: 1.490, Global test loss: 1.551, Global test accuracy: 91.38
Round  23, Train loss: 1.505, Test loss: 1.582, Test accuracy: 88.24
Round  23, Global train loss: 1.505, Global test loss: 1.554, Global test accuracy: 91.20
Round  24, Train loss: 1.519, Test loss: 1.582, Test accuracy: 88.22
Round  24, Global train loss: 1.519, Global test loss: 1.580, Global test accuracy: 88.52
Round  25, Train loss: 1.524, Test loss: 1.579, Test accuracy: 88.45
Round  25, Global train loss: 1.524, Global test loss: 1.570, Global test accuracy: 89.69
Round  26, Train loss: 1.488, Test loss: 1.579, Test accuracy: 88.44
Round  26, Global train loss: 1.488, Global test loss: 1.548, Global test accuracy: 91.65
Round  27, Train loss: 1.507, Test loss: 1.578, Test accuracy: 88.53
Round  27, Global train loss: 1.507, Global test loss: 1.559, Global test accuracy: 90.73
Round  28, Train loss: 1.509, Test loss: 1.578, Test accuracy: 88.55
Round  28, Global train loss: 1.509, Global test loss: 1.562, Global test accuracy: 90.49
Round  29, Train loss: 1.490, Test loss: 1.578, Test accuracy: 88.59
Round  29, Global train loss: 1.490, Global test loss: 1.551, Global test accuracy: 91.28
Round  30, Train loss: 1.487, Test loss: 1.577, Test accuracy: 88.58
Round  30, Global train loss: 1.487, Global test loss: 1.552, Global test accuracy: 91.30
Round  31, Train loss: 1.503, Test loss: 1.577, Test accuracy: 88.57
Round  31, Global train loss: 1.503, Global test loss: 1.561, Global test accuracy: 90.55
Round  32, Train loss: 1.490, Test loss: 1.577, Test accuracy: 88.62
Round  32, Global train loss: 1.490, Global test loss: 1.548, Global test accuracy: 91.69
Round  33, Train loss: 1.484, Test loss: 1.577, Test accuracy: 88.59
Round  33, Global train loss: 1.484, Global test loss: 1.550, Global test accuracy: 91.43
Round  34, Train loss: 1.486, Test loss: 1.577, Test accuracy: 88.62
Round  34, Global train loss: 1.486, Global test loss: 1.555, Global test accuracy: 90.85
Round  35, Train loss: 1.485, Test loss: 1.577, Test accuracy: 88.63
Round  35, Global train loss: 1.485, Global test loss: 1.551, Global test accuracy: 91.46
Round  36, Train loss: 1.483, Test loss: 1.577, Test accuracy: 88.64
Round  36, Global train loss: 1.483, Global test loss: 1.548, Global test accuracy: 91.72
Round  37, Train loss: 1.484, Test loss: 1.577, Test accuracy: 88.65
Round  37, Global train loss: 1.484, Global test loss: 1.552, Global test accuracy: 91.22
