nohup: ignoring input
/data/jij/csm/code/FL_HLS/utils/sampling.py:91: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  label = torch.tensor(dataset.targets[i]).item()
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%% 

%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%  fedavg  local_only:1   %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%% 

# alg: fedavg , epochs: 100, shard_per_user: 3, limit_local_output: 0, local_rep_ep: 3 , local_only: 1, is_concept_shift: 0, dataset: mnist, level_n_system: 0.0 , level_n_lowerb:0.2  

fedavg
MLP(
  (layer_input): Linear(in_features=784, out_features=512, bias=True)
  (relu): ReLU()
  (dropout): Dropout(p=0, inplace=False)
  (layer_hidden1): Linear(in_features=512, out_features=256, bias=True)
  (layer_hidden2): Linear(in_features=256, out_features=64, bias=True)
  (layer_out): Linear(in_features=64, out_features=10, bias=True)
  (softmax): Softmax(dim=1)
)
odict_keys(['layer_input.weight', 'layer_input.bias', 'layer_hidden1.weight', 'layer_hidden1.bias', 'layer_hidden2.weight', 'layer_hidden2.bias', 'layer_out.weight', 'layer_out.bias'])
8
[]
['layer_input.weight', 'layer_input.bias', 'layer_hidden1.weight', 'layer_hidden1.bias', 'layer_hidden2.weight', 'layer_hidden2.bias', 'layer_out.weight', 'layer_out.bias']
learning rate, batch size: 0.01, 10 

Round   0, Train loss: 2.269, Test loss: 2.258, Test accuracy: 27.27 

Round   0, Global train loss: 2.269, Global test loss: 2.287, Global test accuracy: 21.30 

Round   1, Train loss: 2.062, Test loss: 2.120, Test accuracy: 38.62 

Round   1, Global train loss: 2.062, Global test loss: 2.186, Global test accuracy: 26.97 

Round   2, Train loss: 2.006, Test loss: 2.042, Test accuracy: 48.10 

Round   2, Global train loss: 2.006, Global test loss: 2.224, Global test accuracy: 22.23 

Round   3, Train loss: 1.898, Test loss: 1.889, Test accuracy: 63.77 

Round   3, Global train loss: 1.898, Global test loss: 2.206, Global test accuracy: 22.05 

Round   4, Train loss: 1.591, Test loss: 1.824, Test accuracy: 68.77 

Round   4, Global train loss: 1.591, Global test loss: 2.179, Global test accuracy: 25.80 

Round   5, Train loss: 1.658, Test loss: 1.767, Test accuracy: 74.63 

Round   5, Global train loss: 1.658, Global test loss: 2.165, Global test accuracy: 35.72 

Round   6, Train loss: 1.634, Test loss: 1.696, Test accuracy: 82.33 

Round   6, Global train loss: 1.634, Global test loss: 2.197, Global test accuracy: 22.87 

Round   7, Train loss: 1.537, Test loss: 1.689, Test accuracy: 82.57 

Round   7, Global train loss: 1.537, Global test loss: 2.164, Global test accuracy: 35.98 

Round   8, Train loss: 1.562, Test loss: 1.643, Test accuracy: 85.70 

Round   8, Global train loss: 1.562, Global test loss: 2.131, Global test accuracy: 33.83 

Round   9, Train loss: 1.483, Test loss: 1.630, Test accuracy: 87.30 

Round   9, Global train loss: 1.483, Global test loss: 2.114, Global test accuracy: 39.23 

Round  10, Train loss: 1.550, Test loss: 1.604, Test accuracy: 88.05 

